date,numbers,fetched_at
08/10/2018 to 14/10/2018,"2,7,0,9,5,1,4,0,5,6,9,0,9,2,8,9,5,7,0,2,4,1,4,9,1,3,6,0,8,5,6,7,2,2,0,4,1,1,1,9,3,4,0,7,1,5,8,8,2,3,3,8,0,6,7,7",2026-09-18 13:49:36
15/10/2018 to 21/10/2018,"6,9,9,4,2,1,3,8,1,4,7,2,3,3,4,6,1,1,8,0,8,4,5,9,5,7,9,1,1,1,3,7,3,3,3,9,8,2,2,4,4,0,0,4,2,1,5,6,6,8,0,4,3,2,5,6",2026-09-18 13:49:36
22/10/2018 to 28/10/2018,"1,2,2,5,4,2,4,8,1,4,5,0,5,3,6,6,2,8,0,0,0,2,3,5,1,7,8,6,6,4,5,7,4,6,9,9,8,4,4,0,1,1,6,8,1,2,9,0,2,6,8,6,9,3,6,0",2026-09-18 13:49:36
29/10/2018 to 04/11/2018,"1,7,0,8,1,1,4,6,1,3,6,0,7,1,2,4,1,2,3,6,9,5,5,9,2,3,5,0,0,5,7,8,1,3,5,9,1,6,7,8,3,4,0,7,5,2,6,7,4,6,9,9,9,1,9,9",2026-09-18 13:49:36
05/11/2018 to 11/11/2018,"1,4,0,5,6,2,6,8,2,6,0,8,0,4,7,9,2,4,9,5,1,2,2,7,5,6,7,8,9,9,0,0,1,1,6,8,0,3,8,9,1,1,2,4,4,2,3,9,1,2,4,7,1,2,4,5",2026-09-18 13:49:36
12/11/2018 to 18/11/2018,"2,7,8,7,1,1,4,6,4,9,0,3,7,3,6,8,6,6,9,1,3,2,4,7,3,5,7,5,3,4,9,0,7,8,0,5,1,1,5,5,4,6,9,9,7,4,5,8,4,7,0,1,1,1,4,6",2026-09-18 13:49:36
19/11/2018 to 25/11/2018,"3,3,4,0,7,1,6,0,2,4,6,2,3,1,6,6,7,8,9,4,1,3,8,0,1,3,9,3,1,3,3,5,3,4,4,1,9,3,7,9,3,9,0,2,3,1,5,7,1,2,6,9,8,4,6,8",2026-09-18 13:49:36
26/11/2018 to 02/12/2018,"1,5,5,1,6,2,5,9,4,8,9,1,2,1,4,7,2,7,9,8,5,2,6,7,5,7,9,1,0,1,4,5,3,9,9,1,0,2,3,5,7,7,0,4,5,4,4,7,3,3,6,2,2,2,4,6",2026-09-18 13:49:36
03/12/2018 to 09/12/2018,"2,4,7,3,9,2,7,0,2,8,8,8,9,1,3,5,4,7,8,9,3,1,2,0,6,6,0,2,9,2,3,4,6,6,8,0,5,2,6,7,1,2,0,3,9,4,6,9,1,2,5,8,2,2,3,7",2026-09-18 13:49:36
10/12/2018 to 16/12/2018,"2,5,6,3,1,4,8,9,5,6,9,0,0,3,3,4,2,5,7,4,0,5,7,8,1,3,3,7,7,4,5,8,3,4,0,7,7,2,7,8,1,6,7,4,5,7,9,9,1,1,2,4,3,1,6,6",2026-09-18 13:49:36
17/12/2018 to 23/12/2018,"3,4,7,4,0,5,5,0,3,3,6,2,9,1,1,7,4,8,8,0,4,2,3,9,3,4,9,6,0,5,6,9,5,7,0,2,1,4,7,0,5,9,9,3,9,5,6,8,3,3,9,5,6,1,6,9",2026-09-18 13:49:36
24/12/2018 to 30/12/2018,"4,6,7,7,2,1,4,7,4,5,9,8,5,1,6,8,1,1,0,2,1,3,9,9,6,0,0,6,0,6,7,7,3,5,8,6,9,2,8,9,2,2,7,1,1,1,3,7,8,9,0,7,9,3,8,8",2026-09-18 13:49:36
31/12/2018 to 06/01/2019,"1,2,2,5,9,3,6,0,5,5,0,0,8,1,1,6,6,9,0,5,2,4,9,9,6,7,9,2,3,6,7,0,7,7,8,2,5,2,4,9,2,6,0,8,7,4,6,7,6,7,9,2,3,2,3,8",2026-09-18 13:49:36
07/01/2019 to 13/01/2019,"6,8,9,3,5,1,4,0,4,8,9,1,1,6,6,9,8,0,0,8,4,5,9,0,4,8,8,0,3,2,4,7,1,3,7,1,5,2,6,7,2,4,5,1,1,2,3,6,7,7,9,3,2,1,3,8",2026-09-18 13:49:36
14/01/2019 to 20/01/2019,"4,7,8,9,2,2,5,5,1,5,5,1,8,1,2,5,5,9,9,3,3,7,8,8,4,9,9,2,2,5,7,0,3,7,9,9,1,2,4,5,5,6,9,0,5,1,5,9,1,8,8,7,3,1,4,8",2026-09-18 13:49:36
21/01/2019 to 27/01/2019,"1,6,7,4,0,2,2,6,1,8,9,8,7,2,2,3,2,6,0,8,2,2,4,6,5,7,0,2,0,2,2,6,8,9,0,7,4,3,3,8,2,4,4,0,9,5,5,9",2026-09-18 13:49:36
28/01/2019 to 03/02/2019,"2,5,6,3,3,5,8,0,2,4,8,4,9,5,5,9,4,4,6,4,9,5,7,7,3,6,6,5,7,1,8,8,2,6,7,5,8,1,1,6,5,0,0,5,2,1,5,6,1,3,7,1,2,1,5,6",2026-09-18 13:49:36
04/02/2019 to 10/02/2019,"8,9,9,6,9,6,6,7,1,3,8,2,3,6,8,9,1,5,0,6,6,2,4,0,3,4,8,5,3,2,4,7,7,7,8,2,6,2,4,0,5,7,9,1,2,6,7,9,3,4,8,5,4,3,4,7",2026-09-18 13:49:36
11/02/2019 to 17/02/2019,"7,8,8,3,4,6,8,0,2,6,6,4,7,1,1,5,9,9,0,8,1,4,7,0,3,5,6,4,3,1,5,7,2,5,7,4,8,1,8,9,1,3,7,1,2,1,4,7,6,6,8,0,6,1,5,0",2026-09-18 13:49:36
18/02/2019 to 24/02/2019,"6,6,0,2,9,4,7,8,3,4,8,5,6,1,7,8,1,1,9,1,0,1,3,6,4,8,0,2,8,2,3,3,3,3,0,6,4,1,4,9,4,6,0,0,8,1,8,9,4,9,0,3,1,5,6,0",2026-09-18 13:49:36
