date,numbers,fetched_at
24/08/2020 to 28/08/2020,"3,6,8,7,1,4,8,9,3,3,8,4,1,4,8,9,1,6,8,5,7,4,6,7,2,7,0,9,8,2,3,3,6,9,0,5,0,3,3,4",2026-09-18 13:49:42
31/08/2020 to 04/09/2020,"5,6,0,1,9,3,7,9,4,7,7,8,9,4,6,9,4,7,9,0,5,4,5,6,5,6,7,8,8,1,2,5,1,7,0,8,8,1,3,4",2026-09-18 13:49:42
07/09/2020 to 11/09/2020,"1,4,7,2,9,1,2,6,2,2,0,4,6,7,9,0,1,3,0,4,6,1,7,8,3,6,9,8,8,1,7,0,5,6,9,0,8,1,8,9",2026-09-18 13:49:42
14/09/2020 to 18/09/2020,"3,3,5,1,8,4,5,9,2,5,0,7,2,1,3,8,6,9,0,5,8,3,5,0,1,6,7,4,0,1,2,7,1,3,8,2,1,2,4,5",2026-09-18 13:49:42
21/09/2020 to 25/09/2020,"6,9,9,4,4,6,9,9,7,7,8,2,9,4,6,9,4,5,6,5,4,2,4,8,3,5,8,6,5,1,6,8,1,5,0,6,3,4,9,0",2026-09-18 13:49:42
28/09/2020 to 02/10/2020,"2,4,8,4,8,1,2,5,3,9,9,1,9,2,3,4,1,6,8,5,9,6,6,7,2,2,3,7,5,5,0,0,5,0,0,5,1,6,7,8",2026-09-18 13:49:42
05/10/2020 to 09/10/2020,"3,5,7,5,4,2,3,9,1,2,4,7,0,4,7,9,3,6,9,8,2,7,7,8,2,4,7,3,6,3,6,7,4,6,8,8,0,4,7,9",2026-09-18 13:49:42
12/10/2020 to 16/10/2020,"2,5,9,6,2,2,5,5,1,3,8,2,3,4,4,5,1,5,0,6,6,3,6,7,2,9,0,1,5,1,7,7,6,8,9,3,2,4,8,0",2026-09-18 13:49:42
19/10/2020 to 23/10/2020,"2,4,0,6,2,5,8,9,3,8,0,1,2,6,7,9,4,6,0,0,3,3,0,0,1,4,4,9,8,2,6,0,7,0,0,7,1,1,3,7",2026-09-18 13:49:42
26/10/2020 to 30/10/2020,"1,7,0,8,6,2,7,7,4,5,0,9,2,6,8,8,1,6,8,5,6,1,6,9,1,3,9,3,8,4,6,8,1,5,7,3,5,6,9,0",2026-09-18 13:49:42
