date,numbers,fetched_at
21/02/2022 to 27/02/2022,"3,4,9,6,7,3,6,8,1,9,0,0,9,2,2,5,1,7,9,7,8,1,2,5,6,7,9,2,8,4,5,9,2,3,0,5,1,1,4,6,4,9,0,3,4,1,4,9,5,8,0,3,5,1,4,0",2026-09-18 18:18:54
28/02/2022 to 06/03/2022,"6,7,7,0,8,8,0,0,5,7,8,0,6,3,5,8,2,3,7,2,9,1,8,0,2,4,0,6,4,3,3,8,1,9,9,9,7,4,5,8,1,2,3,6,2,4,8,0,1,2,4,7,5,3,5,7",2026-09-18 18:18:54
07/03/2022 to 13/03/2022,"5,6,0,1,1,2,9,0,2,5,7,4,5,2,5,8,5,6,9,0,3,1,5,7,4,7,9,0,7,2,7,8,2,4,7,3,6,1,7,8,6,7,0,3,3,1,3,9,2,3,4,9,7,8,9,0",2026-09-18 18:18:54
14/03/2022 to 20/03/2022,"3,7,8,8,5,6,9,0,2,3,7,2,2,1,3,8,4,4,0,8,0,4,6,0,4,8,9,1,4,4,0,0,4,5,7,6,6,7,9,0,1,2,6,9,3,3,5,5",2026-09-18 18:18:54
21/03/2022 to 27/03/2022,"3,5,9,7,7,2,6,9,2,6,7,5,5,7,8,0,5,5,6,6,2,1,5,6,1,4,5,0,8,1,7,0,3,6,0,9,1,2,4,5,7,8,9,4,2,5,7,0,6,7,9,2,8,5,6,7",2026-09-18 18:18:54
28/03/2022 to 03/04/2022,"2,3,3,8,0,3,8,9,2,3,6,1,3,2,5,6,7,0,0,7,8,4,5,9,8,8,9,5,9,3,8,8,1,1,4,6,4,2,3,9,5,7,9,1,7,4,6,7,1,7,8,6,6,3,4,9",2026-09-18 18:18:54
04/04/2022 to 10/04/2022,"1,4,8,3,7,1,1,5,4,8,8,0,0,5,6,9,3,6,8,7,6,2,6,8,1,4,4,9,1,1,3,7,4,6,6,6,9,1,3,5,3,3,9,5,0,1,4,5,1,4,9,4,8,1,3,4",2026-09-18 18:18:54
11/04/2022 to 17/04/2022,"1,6,0,7,7,3,7,7,3,8,0,1,0,1,3,6,1,2,5,8,1,1,4,6,2,8,9,9,3,5,8,0,4,4,8,6,4,1,6,7,2,5,9,6,2,1,3,8,3,4,7,4,6,3,5,8",2026-09-18 18:18:54
18/04/2022 to 24/04/2022,"1,8,8,7,0,6,6,8,5,6,8,9,0,3,7,0,1,2,8,1,1,4,8,9,2,4,6,2,8,3,6,9,3,4,6,3,4,7,8,9,1,4,0,5,6,3,6,7,3,4,0,7,5,2,4,9",2026-09-18 18:18:54
25/04/2022 to 01/05/2022,"2,6,6,4,1,6,7,8,4,7,9,0,8,4,6,8,2,4,0,6,9,1,9,9,8,0,0,8,7,4,4,9,2,7,8,7,6,1,2,3,1,0,0,1,4,4,0,0,3,4,9,6,5,1,6,8",2026-09-18 18:18:54
